10001|Abel Migwi Johana Laboratory|KIRINYAGA
10002|Aberdare Medical & Surgical Clinic|NYERI
10003|Aberdare Health Services|MURANGA
10004|Abrahams Clinic|Kirinyaga
10006|Afya Link Ngurubani Clinic|KIRINYAGA
10007|Afya Bora Medical Clinic (Muchagara)|KIRINYAGA
10008|Afya Bora Medical Clinic (Nyeri South)|NYERI
10009|Afya Health Services|NYERI
10010|Afya Medical Clinic (Muranga North)|MURANG'A
10011|Afya Bora Clinic (Mwea)|Kirinyaga
10013|Afya Medical Clinic (Nyeri North)|NYERI
10014|Afya Medical Clinic (Nyeri South)|NYERI
10015|Afya Medical Clinic (Juja)|KIAMBU
10016|Agape Medical Services|MURANGA
10017|Aguthi Dispensary|NYERI
10018|Ahadi Maternity Services|Kiambu
10019|Mangu (Aip) Dispensary|KIAMBU
10020|Gituamba (AIPCA) Dispensary|MURANG'A
10021|All Day Medical Clinic|MURANGA
10022|Alpha Family Health Care|NYERI
10023|Ama (Africa Muslim Agency) Clinic|KIAMBU
10024|Amani Clinic|Nyeri
10026|Amani Medical Clinic (Nyeri North)|Nyeri
10027|Amboni Dispensary|NYERI
10029|Anmer Dispensary|KIAMBU
10031|Annex Laboratory|Nyeri
10032|Annex Medical Clinic (Muranga North)|MURANG'A
10033|Annunciation Catholic Dispensary|KIAMBU
10034|Antony Njogu Clinic|Nyeri
10035|Rescue Centre (Thika)|KIAMBU
10036|Arcade Medical Clinic (Ruiru)|KIAMBU
10037|Arcade Medical Clinic|NYERI
10038|Asantey Clinic|KIAMBU
10039|ASPE Medical Clinic|Kiambu
10040|Assumption of Mary Dispensary|MURANG'A
10041|Athi Dispensary|KIAMBU
10042|Atlas Medical Clinic|NYERI
10043|Baari Health Centre|NYANDARUA
10044|Bamboo Health Centre|NYANDARUA
10046|Baragwi Maternity Home|Kirinyaga
10047|Baraka Medical Clinic (Muranga North)|MURANG'A
10048|Baricho Catholic Health Centre|KIRINYAGA
10049|Baricho Health Centre|KIRINYAGA
10050|Bathi Faith (ACK) Medical Clinic|Kiambu
10051|Batian Eye Clinic|Nyeri
10052|Batian Laboratory Services|Nyeri
10053|Batian Medical Services Medical Clinic|Nyeri
10054|Bcj Medical Centre|KIRINYAGA
10055|Bellevue Health Centre|NYERI
10056|Bennedict XVI Dispensary|NYANDARUA
10057|Bens Labs|KIRINYAGA
10058|Beta Care Nursing Home|KIAMBU
10059|Bethany Clinic|KIRINYAGA
10060|Bethany Family Clinic|NYERI
10061|Bethel Medical Clinic|KIAMBU
10062|Bethsaida (PCEA) Dispensary (Nyandarua)|Nyandarua
10063|Bethsaida (PCEA) Dispensary (Nyeri)|Nyeri
10064|Bethsaida Clinic (Kirinyaga-Gathiga)|Kirinyaga
10065|Bethsaida Clinic (Kirinyaga-Thiba)|Kirinyaga
10067|Bethsaida Medical Clinic (Gatundu)|KIAMBU
10070|Bigem Clinic|Kirinyaga
10072|Blessed Louis Palazzolo Health Centre|KIAMBU
10073|Blue Line Clinic|KIRINYAGA
10074|Boore Clinic|KIAMBU
10075|Breeze Hospital|MURANGA
10076|Burguret Dispensary|NYERI
10077|By Faith Clinic (Kirinyaga)|KIRINYAGA
10078|By Faith Clinic (Thika)|Kiambu
10079|By Grace Medical (Kutus) Clinic|KIRINYAGA
10080|Canan Medical Clinic|KIAMBU
10081|Caritas Mariah|KIAMBU
10082|Central Health Clinic|Nyeri
10083|Central Memorial Hospital|KIAMBU
10086|Chalo Medical Clinic|NYERI
10087|Chania Clinic|Nyeri
10088|Caritas community hospital (Township)|KIAMBU
10089|Charity Medical Centre|LAIKIPIA
10090|Charity Medical Clinic|KIAMBU
10091|Chemat For Health Solutions Kamweti|KIRINYAGA
10092|Christian Community Services Clinic Base Kerugoya|KIRINYAGA
10093|Christian Community Services Wanguru Dispensary|KIRINYAGA
10096|Ciagini  Health Centre|KIRINYAGA
10097|Cianda Dispensary|KIAMBU
10098|Complex Medical Centre|KIRINYAGA
10099|Comrade Nurising Home|KIRINYAGA
10100|Consolata Mission Hospital (Mathari)|NYERI
10101|Coffee Research Staff Dispensary|KIAMBU
10102|Cura (ACK) Medical Clinic|KIAMBU
10104|Dawa Medical Clinic (Nyeri South)|Nyeri
10105|Del Monte Dispensary|MURANG'A
10106|Delina Health Care|NYERI
10108|Diana Medical Clinic|NYERI
10109|Difathas Catholic Dispensary|KIRINYAGA
10110|Difathas Health Centre|KIRINYAGA
10111|Dommy Medical Clinic|Kiambu
10112|Don Bosco Catholic Dispensary|MURANG'A
10113|Dona Medical Clinical|Kiambu
10115|Dr U N Kanani Dental Clinic|Nyeri
10116|Dr A P Gupta Radiological Clinic|Nyeri
10117|Dr Ajay Chyaniyara Medical Clinic|Nyeri
10119|Dr E K Ritho Paediatric Clinic|NYERI
10120|Dr E Kanyi Dental Clinic|Nyeri
10121|Dr Gachiri|KIAMBU
10122|Dr Irungu Mwangi Dermatology Clinic|NYERI
10124|Dr Juma Clinic|Nyeri
10125|Dr Kanina B K Urology Clinic|Nyeri
10126|Dr Kariuki|KIAMBU
10127|Dr Kariuki N M Psychiatric Clinic|NYERI
10128|Dr Kimani Gicharo Clinic|KIAMBU
10129|Dr L G Mburu Radiological Clinic|Nyeri
10130|Dr L L M Muturi Medical Clinic|Nyeri
10131|Dr M H Shah Medical Clinic|Nyeri
